Timestamp,Lap_Number,Position(x),Position(y),Position(z),Orientation(x),Orientation(y),Orientation(z),Collision_Target,Path_Deviation,Estimated_Path_Center(x),Estimated_Path_Center(y),Estimated_Path_Center(z),Gaze_Target,Gaze_Location(x),Gaze_Location(y),Gaze_Location(z),Gaze_Through_Gate,Norm_Pos(x),Norm_Pos(y),Left_X,Left_Y,Right_X,Right_Y,FPS,Flag,gaze_timestamp,world_index,confidence,norm_pos_x,norm_pos_y,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,gaze_normal0_x,gaze_normal0_y,gaze_normal0_z,gaze_normal1_x,gaze_normal1_y,gaze_normal1_z,lookaheadCondition,orientationCondition
1683228331407,0,-255.4,347.268,-182.5722,0.1128656,0,0,NULL,1.8246,-253.5967,243.8264,-182.2941,NULL,-153.1222,446.3925,230.1743,NULL,0.5425,0.6044,0,0,0,-0.5924,59.76268,FLAG,625433.2162305,2,0.933307886123657,0.511864785067167,0.462104738648076,1.15399985468509,0.329493889703392,30.9711887511334,-0.336292923926567,-0.2674677487579,0.902977337861422,0.607589933436469,-0.217699573986239,0.763833338021376,full,offset
1683228331424,0,-255.4,347.3064,-182.4493,0.1561794,0,0,NULL,1.8059,-253.6152,243.8396,-182.174,NULL,-153.1222,446.3925,230.1743,NULL,0.5425,0.6044,0,0,0,-0.6119,59.77036,FLAG,625433.2323105,3,0.868643462657928,0.510397732928393,0.467548603152093,1.03918001725134,0.0990470729835833,30.832626288135,-0.338477181870604,-0.270389254204666,0.901289547572576,0.607015358605554,-0.222762328729733,0.762829797081811,full,offset
1683228331440,0,-255.4,347.3415,-182.3062,0.2060168,0,0,NULL,1.784,-253.6368,243.8549,-182.0343,NULL,-153.1222,446.3925,230.1743,NULL,0.5394,0.6097,0,0,0,-0.6186,59.77036,FLAG,625433.250494,3,0.932241261005402,0.50458647158905,0.486014423331637,0.599012425624283,-0.670119510011366,30.5028589192985,-0.345869403446416,-0.280816447512762,0.895274526927876,0.603571496059939,-0.238101783837442,0.760926402273831,full,offset
1683228331457,0,-255.4,347.3737,-182.1434,0.2618627,0,0,NULL,1.7592,-253.6613,243.8723,-181.8753,NULL,-153.1222,446.3925,230.1743,NULL,0.5394,0.6097,0,0,0,-0.6226,59.77036,FLAG,625433.2663415,4,0.993702381849289,0.496969085921623,0.507024792687217,0.0364053935995443,-1.52805748669403,30.1627581257868,-0.354927444000693,-0.292265554118099,0.888035672352848,0.598693516350052,-0.255172747725522,0.759244981740819,full,offset
1683228331474,0,-255.4,347.403,-181.9615,0.3231991,0,0,NULL,1.7315,-253.6887,243.8917,-181.6975,NULL,-153.1222,446.3925,230.1743,NULL,0.5416,0.6159,0,0,0,-0.6252,60.75648,FLAG,625433.2821835,4,1,0.490395972064685,0.5159331158238,-0.446008419459018,-1.90454503913095,30.2957399048595,-0.360872037732352,-0.29547987284318,0.88456939644523,0.592323374033231,-0.26239330127342,0.761776066846895,full,offset
1683228331491,0,-255.4,347.4299,-181.7608,0.389521,0,0,NULL,1.7009,-253.7189,243.9165,-181.5016,NULL,-153.1222,446.3925,230.1743,NULL,0.5416,0.6159,0,0,0,-0.6269,60.75648,FLAG,625433.298167,5,0.967635333538055,0.484958984889301,0.526287208866538,-0.839556711612373,-2.3174027532305,30.0577086337382,-0.367380335012095,-0.302035045946358,0.879662731088786,0.589156989499585,-0.270089507279579,0.761541659911827,full,offset
1683228331506,0,-255.4,347.4544,-181.5422,0.4603336,0,0,NULL,1.6676,-253.7519,243.9438,-181.288,NULL,-153.1222,446.3925,230.1743,NULL,0.5432,0.617,0,0,0,-0.6269,60.75648,FLAG,625433.316158,5,0.928562313318253,0.476788593077687,0.536482063952683,-1.45037180566161,-2.76490587304411,30.315695253977,-0.374192150708229,-0.308352329843296,0.874585087357749,0.580376790692898,-0.275222596373131,0.766430233792121,full,offset
1683228331524,0,-255.4,347.4768,-181.3061,0.5351595,0,0,NULL,1.6316,-253.7875,243.9731,-181.0574,NULL,-153.1222,446.3925,230.1743,NULL,0.5432,0.617,0,0,0,-0.6269,59.54596,FLAG,625433.331152,6,0.924118161201477,0.472653932145794,0.544887125475979,-1.76443468236229,-3.13060062053805,30.430498837583,-0.37745379894135,-0.311795311903541,0.871958894180062,0.575623354196817,-0.281717575786158,0.767654194019922,full,offset
1683228331540,0,-255.4,347.4973,-181.0531,0.6135707,0,0,NULL,1.593,-253.8256,244.0046,-180.8103,NULL,-153.1222,446.3925,230.1743,NULL,0.5439,0.6211,0,0,0,-0.629,59.54596,FLAG,625433.350281,6,0.923201560974121,0.463847364350064,0.553437292898281,-2.39273374262195,-3.45276395576676,30.0488469418968,-0.388173307571602,-0.321099311630453,0.863838361824347,0.571037946421008,-0.285103452742671,0.769825749752166,full,offset
1683228331557,0,-255.4,347.516,-180.7838,0.6951671,0,0,NULL,1.552,-253.8661,244.0381,-180.5472,NULL,-153.1222,446.3925,230.1743,NULL,0.5439,0.6211,0,0,0,-0.629,59.83187,FLAG,625433.3662325,7,0.964825421571732,0.456629205269639,0.555317231635622,-2.93422326307518,-3.54506266555622,30.1203232881645,-0.395423627038615,-0.321312402868541,0.86046411601093,0.564799226096575,-0.287164130922644,0.773652761975392,full,offset
1683228331573,0,-255.4,347.533,-180.4987,0.7795581,-3e-08,0,NULL,1.5085,-253.9091,244.0736,-180.2688,NULL,-153.1222,446.3925,230.1743,NULL,0.5448,0.6268,0,0,0,-0.629,59.83187,FLAG,625433.3802225,7,0.939230442047119,0.449354847554553,0.555772796395844,-3.44315713800091,-3.53644054775887,29.8324322248976,-0.404452711699303,-0.321862271821624,0.856050630498514,0.561449110007976,-0.288826520046256,0.775470269055636,full,offset
1683228331591,0,-255.4,347.5485,-180.1985,0.86638,0,0,NULL,1.4628,-253.9543,244.1102,-179.9755,NULL,-153.1222,446.3925,230.1743,NULL,0.5448,0.6268,0,0,0,-0.629,59.83187,FLAG,625433.4001415,8,0.920364171266556,0.44244077018063,0.557162782440987,-4.0078480357058,-3.64776762364191,30.215097653868,-0.409970000055347,-0.317533866838267,0.855042012105462,0.552718493982001,-0.293428892229531,0.78000112282946,full,offset
1683228331607,0,-255.4,347.5627,-179.8837,0.9552931,0,0,NULL,1.4148,-254.0018,244.1398,-179.668,NULL,-153.1222,446.3925,230.1743,NULL,0.5478,0.6288,0,0,0,-0.629,60.48856,FLAG,625433.4142025,9,0.995,0.429463285485914,0.533993237204301,-5.31600508520146,-2.86542286225839,32.2735710064756,-0.417506272340671,-0.304175999989617,0.856250823991729,0.527080983919986,-0.268240987078393,0.806369896040985,full,offset
1683228331624,0,-255.4,347.5756,-179.5547,1.045983,-3e-08,0,NULL,1.3646,-254.0513,244.1707,-179.3467,NULL,-153.1222,446.3925,230.1743,NULL,0.5478,0.6288,0,0,0,-0.629,60.48856,FLAG,625433.4341975,9,0.99,0.35184583895111,0.498236190379245,-12.4919508154249,-1.37913968163469,33.5695016806923,-0.502269666733745,-0.247848048059023,0.828430158162114,0.437333414573376,-0.272176683145039,0.857122708630309,full,offset
1683228331640,0,-255.4,347.5873,-179.2121,1.138156,-3e-08,0,NULL,1.3124,-254.1029,244.2029,-179.0121,NULL,-153.1222,446.3925,230.1743,NULL,0.5476,0.6382,0,0,0,-0.629,60.48856,FLAG,625433.448135,10,0.99,0.313791521098183,0.500257330023183,-18.2700022430813,-1.71078998719009,37.329706996408,-0.539907098340211,-0.226563623602703,0.810659761935836,0.340188361067236,-0.276325329929208,0.898841582835319,full,offset
