Timestamp;Lap_Number;Position.x.;Position.y.;Position.z.;Orientation.x.;Orientation.y.;Orientation.z.;Path_Deviation;Estimated_Path_Center.x.;Estimated_Path_Center.y.;Estimated_Path_Center.z.;Gaze_Location.x.;Gaze_Location.y.;Gaze_Location.z.;Subject
1681827857170;1;-253.9662;347.5997;-157.7026;9.99999;350.0646;0;3.3834;-257.3101;246.4673;-158.2183;-269.103228571429;351.864885714285;-87.0944285714287;3
1681827857187;1;-253.9681;347.5997;-156.6154;9.999991;349.503;-2.2e-07;3.5472;-257.4739;246.6075;-157.1561;-272.897228571429;351.895457142857;-71.3418857142859;3
1681827857204;1;-253.9767;347.5997;-155.5287;9.999991;348.9777;-1.1e-07;3.7044;-257.6378;246.7761;-156.0934;-276.691228571429;351.926028571429;-55.589342857143;3
1681827857221;1;-253.9921;347.5998;-154.4424;9.999992;348.4883;-2.2e-07;3.8547;-257.8018;246.869;-155.03;-280.398271428571;351.929792857143;-40.1168000000001;3
1681827857237;1;-254.0144;347.5998;-153.3567;9.99999;348.0342;1.1e-07;3.9982;-257.9659;246.9547;-153.9662;-284.1365;352.0656;-24.4251000000001;3
1681827857253;1;-254.0437;347.5999;-152.2715;9.99999;347.6142;0;4.1347;-258.1301;247.0404;-152.9017;-284.1365;352.0656;-24.4251000000001;3
1681827857270;1;-254.0799;347.5999;-151.1869;9.99999;347.2267;0;4.2642;-258.2943;247.1364;-151.8369;-284.1365;352.0656;-24.4251000000001;3
1681827857287;1;-254.1231;347.6;-150.1028;9.99999;346.8703;2.2e-07;4.3867;-258.4586;247.2888;-150.7715;-284.1365;352.0656;-24.4251000000001;3
1681827857304;1;-254.1734;347.6;-149.0195;9.99999;346.5432;1.1e-07;4.5022;-258.623;247.4412;-149.7058;-284.1365;352.0656;-24.4251000000001;3
1681827857321;1;-254.2305;347.6001;-147.9368;9.99999;346.2437;1.1e-07;4.6108;-258.7874;247.5937;-148.6396;-284.1365;352.0656;-24.4251000000001;3
1681827857337;1;-254.2946;347.6001;-146.8548;9.99999;345.9699;1.1e-07;4.7124;-258.9519;247.7329;-147.5731;-284.1365;352.0656;-24.4251000000001;3
1681827857354;1;-254.3655;347.6002;-145.7735;9.99999;345.7202;-1.1e-07;4.8072;-259.1165;247.8427;-146.5063;-284.1365;352.0656;-24.4251000000001;3
1681827857371;1;-254.4431;347.6003;-144.6929;9.999992;345.4926;-1.1e-07;4.8952;-259.2811;247.9427;-145.4391;-284.1365;352.0656;-24.4251000000001;3
1681827857387;1;-254.5275;347.6003;-143.6131;9.99999;345.2858;1.1e-07;4.9764;-259.4457;248.0428;-144.3717;-284.1365;352.0656;-24.4251000000001;3
1681827857404;1;-254.6184;347.6004;-142.534;9.999991;345.098;0;5.051;-259.6104;248.1198;-143.304;-284.1365;352.0656;-24.4251000000001;3
1681827857421;1;-254.7157;347.6004;-141.4557;9.999992;344.9276;-3.3e-07;5.1192;-259.7751;248.2084;-142.236;-284.1365;352.0656;-24.4251000000001;3
1681827857437;1;-254.8195;347.6005;-140.3781;9.99999;344.7733;-1.1e-07;5.1809;-259.9398;248.297;-141.1678;-284.1365;352.0656;-24.4251000000001;3
1681827857454;1;-254.9295;347.6006;-139.3013;9.99999;344.6337;0;5.2363;-260.1046;248.3713;-140.0995;-284.1365;352.0656;-24.4251000000001;3
1681827857470;1;-255.0456;347.6006;-138.2252;9.999991;344.5075;0;5.2856;-260.2694;248.5441;-139.0309;-284.1365;352.0656;-24.4251000000001;3
1681827857487;1;-255.1676;347.6006;-137.1499;9.99999;344.3936;0;5.3289;-260.4343;248.7201;-137.9622;-284.1365;352.0656;-24.4251000000001;3
1681827857504;1;-255.2956;347.6007;-136.0753;9.99999;344.2909;1.1e-07;5.3663;-260.5991;248.8961;-136.8933;-284.1365;352.0656;-24.4251000000001;3
