Timestamp,Lap_Number,Position.x.,Position.y.,Position.z.,Orientation.x.,Orientation.y.,Orientation.z.,Path_Deviation,Estimated_Path_Center.x.,Estimated_Path_Center.y.,Estimated_Path_Center.z.,Gaze_Location.x.,Gaze_Location.y.,Gaze_Location.z.,Subject,Gaze.x.,Gaze.y.
1682440658692,0,-255.4,347.5434,-178.947,1.280821,0,0,1.272,-254.1429,244.2278,-178.7531,-254.587014285714,334.399182142857,-88.3346857142857,6,1283.328,355.2282
1682440658709,0,-255.4,347.5567,-178.4646,1.420011,0,0,1.1985,-254.2155,244.2731,-178.2819,-254.613021428571,334.407448214286,-88.2691964285714,6,1283.219,355.3058
1682440658727,0,-255.4,347.5687,-177.9598,1.562266,0,0,1.1215,-254.2916,244.3127,-177.7889,-254.639028571429,334.415714285715,-88.2037071428572,6,1283.111,355.3832
1682440658743,0,-255.4,347.5795,-177.4355,1.706591,0,0,1.0416,-254.3706,244.3527,-177.2767,-254.673317857143,334.437453571428,-88.2151464285714,6,1282.971,355.4707
1682440658759,0,-255.4,347.5892,-176.8952,1.851503,0,0,0.9592,-254.452,244.3939,-176.749,-254.707607142857,334.459192857143,-88.2265857142857,6,1282.831,355.5584
1682440658775,0,-255.4,347.598,-176.3429,1.995323,-3e-08,0,0.875,-254.5352,244.4361,-176.2095,-254.744385714286,334.484951785714,-88.2425392857143,6,1282.681,355.6608
1682440658792,0,-255.4,347.6059,-175.7824,2.136418,0,0,0.7896,-254.6196,244.4947,-175.6621,-254.781164285714,334.510710714285,-88.2584928571429,6,1282.531,355.7631
1682440658809,0,-255.4,347.6131,-175.2173,2.273313,0,0,0.7035,-254.7047,244.5637,-175.1101,-254.813596428571,334.5284,-88.1923214285714,6,1282.396,355.8817
1682440658826,0,-255.4,347.6197,-174.6506,2.40476,0,0,0.6171,-254.7901,244.6365,-174.5565,-254.846028571429,334.546089285715,-88.12615,6,1282.262,355.9998
1682440658843,0,-255.4,347.6257,-174.085,2.529769,-3e-08,0,0.5309,-254.8753,244.7155,-174.0041,-254.880635714286,334.568657142857,-88.0638178571429,6,1282.119,356.1368
1682440658859,0,-255.4,347.6312,-173.5223,2.647691,0,0,0.4451,-254.9601,244.7942,-173.4544,-254.915242857143,334.591225,-88.0014857142857,6,1281.976,356.2736
1682440658876,0,-255.4,347.6363,-172.9639,2.75815,0,0,0.36,-255.0442,244.8722,-172.909,-256.149210714286,333.569689285715,-80.8865678571429,6,1277.168,356.2348
