Timestamp;Lap_Number;Position.x.;Position.y.;Position.z.;Orientation.x.;Orientation.y.;Orientation.z.;Path_Deviation;Estimated_Path_Center.x.;Estimated_Path_Center.y.;Estimated_Path_Center.z.;Gaze_Location.x.;Gaze_Location.y.;Gaze_Location.z.;Subject
1682792618706;1;-260.6;347.6152;-158.0605;9.29204;355.9558;0;3.2274;-257.4103;246.5469;-157.5685;-396.162528571429;343.241;275.641875;11
1682792618722;1;-260.5934;347.6152;-157.0405;9.292041;355.7185;-1.4e-07;3.0655;-257.5638;246.7;-156.5732;-396.264632142857;341.832888571428;276.96675;11
1682792618756;1;-260.5888;347.6152;-155.0007;9.292039;355.1856;-5e-08;2.75;-257.871;246.9052;-154.5815;-396.366735714286;341.976621428571;278.291625;11
1682792618772;1;-260.5909;347.6152;-153.9809;9.292038;354.8844;-5e-08;2.5965;-258.0247;246.9854;-153.5851;-388.25485;342.051661428571;246.694042857143;11
1682792618789;1;-260.5959;347.6152;-152.9611;9.292039;354.5567;-3e-08;2.4461;-258.1784;247.0656;-152.5882;-380.142964285714;342.126701428571;215.096460714286;11
1682792618822;1;-260.6154;347.6152;-150.9219;9.292041;353.8157;-1.1e-07;2.1545;-258.4861;247.3142;-150.5935;-380.101667857143;340.730718571428;201.948121428571;11
1682792618839;1;-260.6301;347.6152;-149.9025;9.292039;353.4007;5e-08;2.0137;-258.64;247.457;-149.5956;-371.640367857143;340.929225714286;170.477492857143;11
1682792618855;1;-260.6483;347.6153;-148.8833;9.292041;352.9557;-5e-08;1.8763;-258.794;247.5998;-148.5973;-371.813167857143;340.024182857143;171.921353571429;11
1682792618873;1;-260.6701;347.6153;-147.8642;9.292039;352.4808;0;1.7425;-258.948;247.7301;-147.5986;-371.985967857143;337.527995714286;173.365214285714;11
1682792618888;1;-260.6957;347.6153;-146.8453;9.29204;351.9765;5e-08;1.6124;-259.1021;247.8339;-146.5995;-379.818803571429;335.072197142857;184.448442857143;11
1682792618906;1;-260.7252;347.6153;-145.8267;9.29204;351.4435;-5e-08;1.4864;-259.2562;247.9276;-145.6001;-387.651639285714;334.19503;195.531671428571;11
1682792618923;1;-260.7589;347.6153;-144.8084;9.29204;350.8831;-5e-08;1.3644;-259.4104;248.0213;-144.6004;-380.4747;334.427512857143;174.231621428571;11
1682792618939;1;-260.7969;347.6153;-143.7904;9.29204;350.2962;0;1.2468;-259.5647;248.0964;-143.6003;-373.311839285714;334.6711;152.961528571429;11
1682792618956;1;-260.8395;347.6153;-142.7727;9.29204;349.6844;0;1.1338;-259.719;248.1783;-142.5999;-377.955792857143;334.426544285714;157.634071428571;11
1682792618973;1;-260.8868;347.6154;-141.7555;9.292039;349.0489;1.1e-07;1.0255;-259.8733;248.2613;-141.5992;-387.138985714286;334.667428571429;176.282717857143;11
1682792618989;1;-260.9391;347.6154;-140.7387;9.292038;348.3916;0;0.9222;-260.0277;248.3404;-140.5982;-398.04365;335.460208571428;197.788257142857;11
1682792619006;1;-260.9966;347.6154;-139.7225;9.292039;347.7151;0;0.8241;-260.1821;248.4509;-139.5969;-407.604057142857;336.267317142857;215.566575;11
1682792619022;1;-261.0594;347.6154;-138.7069;9.292038;347.0252;1.1e-07;0.7314;-260.3366;248.6158;-138.5954;-411.643492857143;336.508911428572;221.298285714286;11
1682792619039;1;-261.1279;347.6154;-137.692;9.292039;346.332;-1.1e-07;0.6444;-260.4911;248.7808;-137.5937;-417.1315;338.631027142857;230.816885714286;11
1682792619056;1;-261.2023;347.6155;-136.6777;9.292041;345.6465;-1.1e-07;0.5632;-260.6456;248.9482;-136.5919;-416.941221428571;339.212191428571;224.527635714286;11
1682792619071;1;-261.2827;347.6155;-135.6644;9.292041;344.9775;-2.2e-07;0.4882;-260.8002;249.1161;-135.5899;-416.750942857143;339.403992857143;218.238385714286;11
1682792619088;1;-261.3693;347.6156;-134.6519;9.29204;344.3318;-2.2e-07;0.3392;-261.057;249.2165;-134.5195;-410.676353571429;339.595794285715;194.505135714286;11
1682792619105;1;-261.4624;347.6156;-133.6403;9.292039;343.7137;-1.1e-07;0.0303;-261.4344;249.3;-133.6285;-404.5989;340.174035714286;170.769153571429;11
1682792619123;1;-261.562;347.6157;-132.6298;9.292038;343.1266;0;0.2721;-261.8125;249.3837;-132.7359;-416.222514285714;341.024652857143;194.558592857143;11
1682792619138;1;-261.6682;347.6157;-131.6204;9.292039;342.5723;-1.1e-07;0.568;-262.1912;249.47;-131.8419;-427.846128571429;341.856151428571;218.348032142857;11
1682792619156;1;-261.7812;347.6158;-130.6121;9.292039;342.0518;-1.1e-07;0.8572;-262.5706;249.568;-130.9464;-424.994114285714;340.554414285715;206.527096428571;11
1682792619172;1;-261.9011;347.6158;-129.605;9.292041;341.5653;-1.1e-07;1.1397;-262.9505;249.7083;-130.0495;-422.1421;337.945684285714;194.706160714286;11
1682792619189;1;-262.0278;347.6158;-128.5992;9.29204;341.1125;-1.1e-07;1.4153;-263.331;249.8665;-129.1512;-428.531707142857;338.03641;206.704828571429;11
1682792619205;1;-262.1614;347.6159;-127.5947;9.292039;340.6924;-2.2e-07;1.6841;-263.7121;250.025;-128.2516;-433.360485714286;338.127135714285;216.631885714286;11
1682792619223;1;-262.3019;347.616;-126.5915;9.292037;340.3041;1.1e-07;1.946;-264.0938;250.114;-127.3505;-431.971503571429;337.129444285714;217.952457142857;11
1682792619239;1;-262.4493;347.616;-125.5897;9.29204;339.946;0;2.201;-264.476;250.1524;-126.4482;-430.582521428571;336.060574285714;219.273028571429;11
1682792619256;1;-262.6036;347.6161;-124.5893;9.292037;339.6168;0;2.4491;-264.8588;250.191;-125.5445;-429.193539285714;337.350237142857;220.5936;11
1682792619272;1;-262.7647;347.6162;-123.5903;9.292037;339.3148;-1.1e-07;2.6904;-265.2421;250.2766;-124.6397;-433.974014285714;338.6399;230.476567857143;11
1682792619288;1;-262.9326;347.6162;-122.5927;9.292039;339.0383;0;2.9249;-265.6259;250.4077;-123.7336;-436.0873;339.929562857143;233.815167857143;11
1682792619305;1;-263.1072;347.6163;-121.5966;9.292039;338.7856;0;3.1527;-266.0102;250.519;-122.8263;-446.620589285714;341.219225714285;255.476057142857;11
1682792619322;1;-263.2883;347.6164;-120.6019;9.292038;338.5553;0;3.3739;-266.395;250.6378;-121.9179;-457.153878571428;341.278997142857;277.136946428571;11
1682792619339;1;-263.476;347.6164;-119.6086;9.292039;338.3455;0;3.5885;-266.7803;250.7696;-121.0083;-467.687167857143;341.338768571428;298.797835714286;11
1682792619355;1;-263.6701;347.6165;-118.6168;9.292037;338.1547;2.2e-07;3.7966;-267.166;250.9015;-120.0977;-466.399553571428;339.846695714285;296.307953571429;11
1682792619372;1;-263.8705;347.6166;-117.6265;9.292039;337.9815;0;3.9984;-267.5522;250.9827;-119.186;-454.930246428571;341.137607142857;273.207925;11
1682792619388;1;-264.0771;347.6166;-116.6375;9.292038;337.8245;0;4.1939;-267.9388;251.0579;-118.2734;-455.2189;342.428518571429;274.137646428571;11
