heading_x;heading_z
-0.105598;0.994409
-0.107282;0.994229
-0.108977;0.994044
-0.110682;0.993856
-0.112397;0.993663
-0.114123;0.993467
-0.115859;0.993266
-0.117605;0.99306
-0.119362;0.992851
-0.12113;0.992637
-0.122908;0.992418
-0.124697;0.992195
-0.126496;0.991967
-0.128307;0.991735
-0.130128;0.991497
-0.13196;0.991255
-0.133803;0.991008
-0.135657;0.990756
-0.137522;0.990499
-0.139399;0.990236
-0.141286;0.989969
-0.143185;0.989696
-0.145094;0.989418
-0.147016;0.989134
-0.148948;0.988845
-0.150892;0.98855
-0.152848;0.98825
-0.154815;0.987944
-0.156793;0.987631
-0.158784;0.987313
-0.160786;0.986989
-0.162799;0.986659
-0.164825;0.986323
-0.166862;0.98598
-0.168912;0.985631
-0.170973;0.985276
-0.173047;0.984914
-0.175132;0.984545
-0.17723;0.984169
-0.17934;0.983787
-0.181462;0.983398
-0.183597;0.983002
-0.185744;0.982598
-0.187904;0.982187
-0.190076;0.981769
-0.19226;0.981344
-0.194458;0.980911
-0.196668;0.98047
-0.198891;0.980022
-0.201126;0.979565
-0.203375;0.979101
-0.205636;0.978629
-0.20791;0.978148
-0.210198;0.977659
-0.212498;0.977161
-0.214812;0.976655
-0.217139;0.976141
-0.219479;0.975617
-0.221833;0.975085
-0.224199;0.974543
-0.22658;0.973993
-0.228974;0.973433
-0.231381;0.972863
-0.233802;0.972284
-0.236237;0.971696
-0.238685;0.971097
-0.241147;0.970489
-0.243623;0.96987
-0.246113;0.969241
-0.248616;0.968602
-0.251134;0.967952
-0.253666;0.967292
-0.256211;0.966621
-0.258771;0.965939
-0.261345;0.965245
-0.263933;0.964541
-0.266535;0.963825
-0.269152;0.963098
-0.271783;0.962359
-0.274428;0.961608
-0.277088;0.960845
-0.279762;0.960069
-0.28245;0.959282
-0.285153;0.958482
-0.287871;0.957669
-0.290603;0.956844
-0.29335;0.956005
-0.296111;0.955154
-0.298887;0.954289
-0.301677;0.95341
-0.304483;0.952518
-0.307303;0.951612
-0.310137;0.950692
-0.312987;0.949758
-0.315851;0.948809
-0.31873;0.947846
-0.321624;0.946868
-0.324532;0.945875
-0.327455;0.944867
-0.330393;0.943843
-0.333346;0.942804
-0.336314;0.94175
-0.339296;0.940679
-0.342294;0.939593
-0.345306;0.93849
-0.348333;0.937371
-0.351374;0.936235
-0.35443;0.935082
-0.357501;0.933913
-0.360587;0.932726
-0.363687;0.931521
-0.366802;0.930299
-0.369932;0.929059
-0.373076;0.927801
-0.376234;0.926525
-0.379407;0.92523
-0.382595;0.923916
-0.385797;0.922584
-0.389013;0.921232
-0.392243;0.919862
-0.395487;0.918471
-0.398746;0.917061
-0.402019;0.915631
-0.405305;0.914181
-0.408606;0.912711
-0.41192;0.91122
-0.415248;0.909708
-0.41859;0.908175
-0.421945;0.906622
-0.425313;0.905046
-0.428669;0.903462
-0.431981;0.901883
-0.435248;0.900311
-0.438471;0.898745
-0.441649;0.897188
-0.444783;0.895638
-0.447872;0.894098
-0.450915;0.892567
-0.453914;0.891045
-0.456868;0.889534
-0.459777;0.888034
-0.462641;0.886546
-0.46546;0.885069
-0.468234;0.883604
-0.470963;0.882153
-0.473647;0.880715
-0.476286;0.87929
-0.47888;0.87788
-0.481429;0.876485
-0.483934;0.875105
-0.486394;0.87374
-0.488809;0.872391
-0.491179;0.871059
-0.493505;0.869743
-0.495787;0.868444
-0.498024;0.867163
-0.500218;0.8659
-0.502367;0.864655
-0.504472;0.863428
-0.506534;0.86222
-0.508552;0.861031
-0.510526;0.859862
-0.512457;0.858713
-0.514345;0.857584
-0.516189;0.856475
-0.517991;0.855386
-0.51975;0.854319
-0.521466;0.853272
-0.523139;0.852247
-0.524771;0.851244
-0.52636;0.850262
-0.527907;0.849302
-0.529412;0.848365
-0.530875;0.84745
-0.532297;0.846558
-0.533677;0.845688
-0.535017;0.844842
-0.536315;0.844018
-0.537572;0.843218
-0.538788;0.842441
-0.539964;0.841688
-0.541099;0.840959
-0.542194;0.840254
-0.543248;0.839572
-0.544263;0.838915
-0.545238;0.838281
-0.546173;0.837672
-0.547068;0.837088
-0.547924;0.836528
-0.548741;0.835992
-0.549519;0.835481
-0.550257;0.834995
-0.550957;0.834534
-0.551618;0.834097
-0.55224;0.833685
-0.552824;0.833298
-0.553369;0.832936
-0.553876;0.832599
-0.554345;0.832287
-0.554776;0.832
-0.555169;0.831738
-0.555524;0.8315
-0.555842;0.831288
-0.556121;0.831101
-0.556364;0.830939
-0.556568;0.830802
-0.556736;0.830689
-0.556866;0.830602
-0.556959;0.83054
-0.557015;0.830502
-0.557034;0.830489
-0.557016;0.830501
-0.556962;0.830538
-0.55687;0.8306
-0.556742;0.830686
-0.556577;0.830796
-0.556376;0.830931
-0.556137;0.83109
-0.555863;0.831274
-0.555552;0.831482
-0.555205;0.831714
-0.554821;0.83197
-0.554401;0.83225
-0.553945;0.832553
-0.553452;0.832881
-0.552924;0.833232
-0.552359;0.833606
-0.551758;0.834004
-0.551121;0.834425
-0.550448;0.834869
-0.549739;0.835336
-0.548994;0.835826
-0.548213;0.836339
-0.547396;0.836874
-0.546543;0.837431
-0.545654;0.838011
-0.544729;0.838612
-0.543768;0.839236
-0.542771;0.839881
-0.541739;0.840547
-0.54067;0.841235
-0.539566;0.841944
-0.538425;0.842673
-0.537249;0.843424
-0.536037;0.844194
-0.534789;0.844985
-0.533506;0.845796
-0.532186;0.846627
-0.530831;0.847478
-0.52944;0.848348
-0.528013;0.849237
-0.52655;0.850144
-0.525051;0.851071
-0.523517;0.852015
-0.521946;0.852978
-0.52034;0.853959
-0.518699;0.854957
-0.517021;0.855973
-0.515345;0.856983
-0.513725;0.857955
-0.512162;0.858889
-0.510656;0.859785
-0.509206;0.860645
-0.507812;0.861468
-0.506476;0.862254
-0.505195;0.863005
-0.503971;0.863721
-0.502803;0.864401
-0.501691;0.865047
-0.500636;0.865658
-0.499637;0.866235
-0.498693;0.866778
-0.497806;0.867288
-0.496975;0.867765
-0.4962;0.868208
-0.495481;0.868619
-0.494817;0.868997
-0.49421;0.869342
-0.493659;0.869656
-0.493163;0.869937
-0.492723;0.870186
-0.492339;0.870403
-0.492011;0.870589
-0.491739;0.870743
-0.491523;0.870865
-0.491363;0.870955
-0.491258;0.871014
-0.49121;0.871041
-0.491217;0.871037
-0.491281;0.871001
-0.4914;0.870934
-0.491576;0.870835
-0.491808;0.870704
-0.492096;0.870541
-0.49244;0.870346
-0.492841;0.87012
-0.493298;0.869861
-0.493811;0.869569
-0.494382;0.869245
-0.495009;0.868888
-0.495692;0.868498
-0.496433;0.868075
-0.497231;0.867618
-0.498085;0.867128
-0.498997;0.866604
-0.499966;0.866045
-0.500993;0.865451
-0.502078;0.864823
-0.50322;0.864159
-0.504419;0.863459
-0.505677;0.862723
-0.506993;0.86195
-0.508368;0.86114
