path_x; path_z
-261.2452; -135.0596
-261.340249; -134.171685
-261.436807; -133.283932
-261.534882; -132.396345
-261.634485; -131.508928
-261.735624; -130.621685
-261.838309; -129.734618
-261.942548; -128.847733
-262.048353; -127.96103
-262.155729; -127.074527
-262.264689; -126.188215
-262.375242; -125.3021
-262.487397; -124.416185
-262.601164; -123.530476
-262.716553; -122.644975
-262.833573; -121.759688
-262.952234; -120.874619
-263.072546; -119.989772
-263.194518; -119.105152
-263.318161; -118.220765
-263.443485; -117.336613
-263.570498; -116.452703
-263.699213; -115.569038
-263.829638; -114.685624
-263.961783; -113.802466
-264.09566; -112.919568
-264.231277; -112.036937
-264.368652; -111.154537
-264.507782; -110.272453
-264.648685; -109.390651
-264.79137; -108.509135
-264.935848; -107.627911
-265.08213; -106.746984
-265.230226; -105.86636
-265.380146; -104.986045
-265.531902; -104.106045
-265.685505; -103.226365
-265.840964; -102.347011
-265.998291; -101.467989
-266.157497; -100.589306
-266.318593; -99.710967
-266.481589; -98.832979
-266.646497; -97.955348
-266.813324; -97.078101
-266.98209; -96.2012
-267.152804; -95.324662
-267.325475; -94.4485
-267.500115; -93.572729
-267.676732; -92.697363
-267.855336; -91.822417
-268.035938; -90.947904
-268.218551; -90.073823
-268.403196; -89.200132
-268.589878; -88.326873
-268.778609; -87.454055
-268.9694; -86.581685
-269.162263; -85.709771
-269.35721; -84.83832
-269.554252; -83.96734
-269.753402; -83.09684
-269.954672; -82.226828
-270.158073; -81.357312
-270.363618; -80.4883
-270.571319; -79.6198
-270.781188; -78.751822
-270.993237; -77.884374
-271.207479; -77.017465
-271.423925; -76.151104
-271.642589; -75.2853
-271.863482; -74.420061
-272.086617; -73.555399
-272.312007; -72.691321
-272.539663; -71.827838
-272.769599; -70.964959
-273.001828; -70.102694
-273.236361; -69.241053
-273.473211; -68.380046
-273.712392; -67.519685
-273.953916; -66.659977
-274.197795; -65.800935
-274.444043; -64.942568
-274.692673; -64.084889
-274.943697; -63.227907
-275.197128; -62.371634
-275.45298; -61.516081
-275.711264; -60.661259
-275.971995; -59.80718
-276.235185; -58.953856
-276.500848; -58.101299
